Match,League,bookie_home,highest_odd_home,bookie_draw,highest_odd_draw,bookie_away,highest_odd_away,TotalBookies,average_odd_home,average_odd_draw,average_odd_away,Gametime,Time_scraped,url,std_home,std_draw,std_away,median_home,median_draw,median_away
Feyenoord - Zwolle,Netherlands:KNVB Beker 2022/2023,bet365,1.33,bet365,6.5,William Hill,10.0,18,1.3,5.47,8.38,2023-01-12 21:00:00,2023-01-12 10:36:21.008478,https://www.betexplorer.com/soccer/netherlands/knvb-beker/feyenoord-zwolle/YsAzHBDq/,0.0242535625036333,0.3569354860145886,0.7860335188848231,1.3,5.5,8.495000000000001
Athletico-PR U20 - Guarani U20,Brazil:Copa Sao Paulo de juniores 2023,Pinnacle,1.75,Betfair Exchange,3.85,Betfair Exchange,4.9,13,1.66,3.66,4.18,2023-01-12 21:15:00,2023-01-12 10:36:25.743654,https://www.betexplorer.com/soccer/brazil/copa-sao-paulo-de-juniores/athletico-pr-guarani/AyuHbvzh/,0.0601920004907373,0.1033229936927933,0.2842353665358054,1.66,3.65,4.2
Palmeiras U20 - Sampaio Correa U20,Brazil:Copa Sao Paulo de juniores 2023,1xBet,1.1,Betfair,9.5,bwin,26.0,11,1.07,8.53,21.15,2023-01-12 21:15:00,2023-01-12 10:36:30.382968,https://www.betexplorer.com/soccer/brazil/copa-sao-paulo-de-juniores/palmeiras-sampaio-correa/YFTQ3RCt/,0.0245319828350295,2.374181198568543,6.947704787782927,1.07,8.5,21.0
Mes Kerman - Sanat Naft,Iran:Hazfi Cup 2022/2023,bet-at-home,2.75,Interwetten,3.1,Interwetten,2.45,2,2.75,3.08,2.42,2023-01-12 11:30:00,2023-01-12 11:01:09.449768,https://www.betexplorer.com/soccer/iran/hazfi-cup/mes-kerman-sanat-naft/4zCCkpXL/,0.0,0.0353553390593275,0.0424264068711928,2.75,3.075,2.42
Churchill Brothers - Neroca FC,India:I-League 2022/2023,1xBet,1.6,Pinnacle,3.86,Pinnacle,6.09,15,1.56,3.66,5.37,2023-01-12 12:00:00,2023-01-12 11:01:20.054588,https://www.betexplorer.com/soccer/india/i-league/churchill-brothers-neroca/dE0FBxt7/,0.0373911117525975,0.1176678132953709,0.4605503953604498,1.57,3.7,5.25
Rio Ave U23 - Famalicao U23,Portugal:Liga Revelacao U23 2022/2023,Pinnacle,2.72,Betfair Exchange,3.71,Pinnacle,2.42,13,2.65,3.43,2.28,2023-01-12 12:00:00,2023-01-12 11:01:32.356619,https://www.betexplorer.com/soccer/portugal/liga-revelacao-u23/rio-ave-famalicao/8YayR13e/,0.05,0.1265012415060188,0.0600640683578152,2.65,3.4,2.3
Esteghlal F.C. - Tractor,Iran:Hazfi Cup 2022/2023,BetVictor,1.95,1xBet,3.1,Pinnacle,4.46,11,1.9,2.93,4.17,2023-01-12 12:30:00,2023-01-12 11:01:42.816408,https://www.betexplorer.com/soccer/iran/hazfi-cup/esteghlal-teh-tractor/EoJahnm3/,0.0362127551611809,0.0976077493197785,0.1827566688249707,1.89,2.91,4.17
Apollon Pontou - Panserraikos,Greece:Greek Cup 2022/2023,Pinnacle,10.06,1xBet,4.9,10Bet,1.35,13,8.69,4.59,1.32,2023-01-12 13:00:00,2023-01-12 11:02:10.657075,https://www.betexplorer.com/soccer/greece/greek-cup/apollon-pontou-panserraikos/xKSPcOm9/,0.7314459561807604,0.2853270727805871,0.0342983035494997,8.6,4.6,1.33
El Madina El Monowara - Al Aluminium,Egypt:Division 2 - Group A 2022/2023,Pinnacle,4.48,William Hill,3.25,Pinnacle,2.03,12,4.05,3.01,1.88,2023-01-12 13:30:00,2023-01-12 11:02:57.346740,https://www.betexplorer.com/soccer/egypt/division-2-group-a/el-madina-el-monowara-hammadi/4v4KMcWi/,0.2349516391244648,0.2555015863083057,0.0706410044885511,4.0,3.125,1.86
Misr Lel Makkasa - El Gouna,Egypt:Division 2 - Group A 2022/2023,Betfair Exchange,2.56,1xBet,3.0,Pinnacle,3.01,12,2.4,2.91,2.83,2023-01-12 13:30:00,2023-01-12 11:03:06.601944,https://www.betexplorer.com/soccer/egypt/division-2-group-a/misr-lel-makkasa-el-gouna/Qm5GNwHo/,0.0657992815655722,0.0791383521933505,0.0926830702725773,2.4,2.9,2.8
