Time_scraped,Gametime,Country,League,Unnamed: 4,Match,bookie_home,highest_odd_home,bookie_draw,highest_odd_draw,bookie_away,highest_odd_away,TotalBookies,average_odd_home,average_odd_draw,average_odd_away,std_home,std_draw,std_away,median_home,median_draw,median_away,url
2023-01-26 10:15:26.868735,2023-01-26 14:00:00,India,ISL,,Goa - East Bengal,Betfair,1.44,BetInAsia,5.82,BetInAsia,9.91,30,1.28,5.36,8.43,0.0399457966082373,0.3146144024392753,0.8269330216058748,1.28,5.4,8.350000000000001,/soccer/india/isl/fc-goa-east-bengal-O23STfUf/
2023-01-26 10:15:30.739838,2023-01-26 15:00:00,Albania,Superliga,,Partizani - Teuta,10x10bet,1.9,10x10bet,3.41,10x10bet,4.5,19,1.81,3.18,4.35,0.0366158465914233,0.0988521378238962,0.1405332148907675,1.82,3.2,4.4,/soccer/albania/superliga/partizani-teuta-zLVWSDDh/
2023-01-26 10:15:34.491079,2023-01-26 15:00:00,Azerbaijan,Premier League,,Sabah Baku - Neftci Baku,Marsbet,2.18,10x10bet,3.45,BetInAsia,3.65,28,2.05,3.17,3.35,0.0555124549363584,0.1195073859898309,0.1077340830613099,2.05,3.25,3.335,/soccer/azerbaijan/premier-league/sabah-baku-neftci-baku-6N2wpIzC/
2023-01-26 10:15:38.301971,2023-01-26 15:00:00,Israel,Liga Alef South,,Hapoel Kfar Shalem - M. Herzliya,BetInAsia,1.98,Betfair,3.4,1xBet,4.28,11,1.94,3.3,3.39,0.0351854590552066,0.1265237703469585,0.2941017983090125,1.93,3.3,3.4,/soccer/israel/liga-alef-south/hapoel-kfar-shalem-m-herzliya-GUFynBVP/
2023-01-26 10:15:42.001616,2023-01-26 15:00:00,Mexico,Liga MX U20,,Atlas U20 - Santos Laguna U20,Unibet,2.0,10x10bet,3.62,10x10bet,3.76,21,1.93,3.4,3.46,0.03860374895145,0.1086486776145586,0.2064185475679096,1.93,3.4,3.53,/soccer/mexico/liga-mx-u20/atlas-santos-laguna-C8anq2m7/
2023-01-26 10:15:45.945002,2023-01-26 15:00:00,Morocco,Botola Pro,,Hassania Agadir - FUS Rabat,10x10bet,3.64,1xBet,2.94,10x10bet,2.37,28,3.32,2.82,2.27,0.1473195887331002,0.073481220702424,0.0385648142476944,3.3,2.82,2.265,/soccer/morocco/botola-pro/hassania-agadir-fus-rabat-4tmn18mB/
2023-01-26 10:15:49.841877,2023-01-26 15:00:00,Saudi Arabia,Super Cup,,Al Feiha - Al-Hilal,Unibet,11.0,10x10bet,5.8,Pinnacle,1.34,25,9.26,5.24,1.25,0.9262004966528574,0.2946439206907212,0.0324320828809992,8.9,5.2,1.25,/soccer/saudi-arabia/super-cup/al-feiha-al-hilal-pQiD8CYC/
2023-01-26 10:15:54.136733,2023-01-26 15:00:00,Togo,Championnat National,,AS Togo-Port - Entente II,10x10bet,2.66,10x10bet,2.99,10x10bet,2.99,6,2.53,2.84,2.84,0.0634209919681349,0.0744796765716812,0.0744796765716812,2.53,2.84,2.84,/soccer/togo/championnat-national/as-togo-port-entente-WAHdNChe/
2023-01-26 10:15:59.252478,2023-01-26 15:30:00,Greece,Greek Cup,,Lamia - Apollon Paralimniou,1xBet,1.25,Betsafe,6.0,10x10bet,15.0,27,1.22,5.48,11.59,0.0178086152298834,0.3441795078264854,1.513509353262895,1.22,5.5,12.0,/soccer/greece/greek-cup/lamia-apollon-paralimniou-z9Bd2YF8/
2023-01-26 10:16:04.111821,2023-01-26 15:30:00,Oman,Professional League,,Al-Msnaa - Sur Club,BetInAsia,2.4,1xBet,2.97,10x10bet,3.61,23,2.27,2.85,3.24,0.0597569114731431,0.0670242458175413,0.1780974861017571,2.25,2.85,3.25,/soccer/oman/professional-league/al-msnaa-sur-club-Iqsk9TsE/
2023-01-26 10:16:09.295029,2023-01-26 16:00:00,Gambia,GFA League,,Falcons - Steve Biko,Betfair,3.2,1xBet,2.76,10x10bet,2.88,17,2.91,2.61,2.68,0.1065631706667954,0.0845423257563373,0.1244698098496734,2.9,2.6,2.69,/soccer/gambia/gfa-league/falcons-steve-biko-EHkvvC0G/
