Time_scraped,Gametime,Country,League,Match,bookie_home,highest_odd_home,bookie_draw,highest_odd_draw,bookie_away,highest_odd_away,TotalBookies,average_odd_home,average_odd_draw,average_odd_away,std_home,std_draw,std_away,median_home,median_draw,median_away,url
2023-01-17 15:51:51.568276,2023-01-17 18:40:00,Israel,Leumit League,Hapoel Kfar Saba - Hapoel Umm Al-Fahm,10x10bet,3.4,1xBet,3.14,10x10bet,2.46,26,3.09,2.96,2.3,0.1266430477304677,0.1206466796135524,0.0622839460922989,3.05,2.96,2.3,/soccer/israel/leumit-league/hapoel-kfar-saba-hapoel-umm-al-fahm-nT05THQa/
2023-01-17 15:51:55.176130,2023-01-17 19:00:00,Brazil,Copa Sao Paulo de juniores,Santos U20 - Agua Santa U20,10x10bet,1.38,10x10bet,5.1,10x10bet,8.1,23,1.34,4.64,7.06,0.0212554896723135,0.1905568399789414,0.4840854804297986,1.33,4.65,7.0,/soccer/brazil/copa-sao-paulo-de-juniores/santos-agua-santa-Y7gpE7y6/
2023-01-17 15:51:58.864992,2023-01-17 19:00:00,Spain,Copa del Rey,Real Sociedad - Mallorca,Marsbet,1.55,Marsbet,3.9,BetInAsia,8.73,30,1.51,3.72,7.68,0.0177012240631356,0.0927840982544362,0.5332396792771105,1.5,3.735,7.6,/soccer/spain/copa-del-rey/real-sociedad-mallorca-n5xInGJU/
2023-01-17 15:52:02.370865,2023-01-17 19:00:00,World,Club Friendly,Bovinghausen (Ger) - Holzwickeder SC (Ger),10x10bet,1.33,10x10bet,6.8,1xBet,8.1,16,1.27,6.18,7.3,0.0329535658161602,0.2697329408414923,0.7550455284285841,1.28,6.0,7.5,/soccer/world/club-friendly/tus-bovinghausen-holzwickeder-sc-GQPLKAlU/
2023-01-17 15:52:06.035956,2023-01-17 19:00:00,World,Club Friendly,Hertha Zehlendorf (Ger) - BFC Preussen (Ger),10x10bet,1.27,10x10bet,7.0,NordicBet,10.0,15,1.22,6.59,8.57,0.0264491125665031,0.277692075668156,0.6526302339167426,1.2,6.5,8.5,/soccer/world/club-friendly/hertha-zehlendorf-bfc-preussen-zcqYtJho/
2023-01-17 15:52:09.726631,2023-01-17 19:00:00,World,Club Friendly,Aumund-Vegesack (Ger) - BSV Rehden (Ger),10x10bet,4.6,10x10bet,5.1,10x10bet,1.59,21,4.33,4.7,1.54,0.1506463775394536,0.1642726012710112,0.0258812918889546,4.33,4.7,1.53,/soccer/world/club-friendly/aumund-vegesack-bsv-rehden-xvymCcvJ/
2023-01-17 15:52:13.380103,2023-01-17 19:30:00,Brazil,Campeonato Paulista,Sao Bento - Santo Andre,10x10bet,2.81,188BET,2.96,10x10bet,2.96,29,2.68,2.8,2.83,0.063403282397579,0.087592994578149,0.0616036195795605,2.67,2.8,2.81,/soccer/brazil/campeonato-paulista/sao-bento-santo-andre-zFC6kQG1/
2023-01-17 15:52:17.149093,2023-01-17 19:30:00,World,Club Friendly,SC St.Tonis (Ger) - Honnepel-Niedermormter (Ger),10x10bet,1.5,10x10bet,5.3,Betsafe,6.0,14,1.42,5.02,5.49,0.0446585686638302,0.2248865927347309,0.413253023249062,1.4,5.0,5.475,/soccer/world/club-friendly/sc-st-tonis-honnepel-niedermormter-4QxuEJ96/
2023-01-17 15:52:21.123086,2023-01-17 19:45:00,World,Club Friendly,MSV Dusseldorf (Ger) - Krefeld-Fischeln (Ger),Unibet,1.23,Betsafe,8.0,1xBet,13.0,17,1.16,7.47,11.14,0.0321329418441121,0.575818959438158,1.3713706426223244,1.14,7.8,11.0,/soccer/world/club-friendly/msv-dusseldorf-krefeld-fischeln-ltoEdpAS/
2023-01-17 15:52:24.869367,2023-01-17 20:00:00,Africa,African Nations Championship,Algeria - Ethiopia,BetVictor,1.4,BC.Game,4.6,10x10bet,11.0,30,1.35,4.24,9.56,0.0244404037064311,0.1877042591122772,0.8435035401361528,1.355,4.25,9.5,/soccer/africa/african-nations-championship/algeria-ethiopia-x8bseXlL/
2023-01-17 15:52:28.629029,2023-01-17 20:00:00,England,Professional Development League,QPR U21 - Charlton U21,10x10bet,2.19,William Hill,4.2,10x10bet,2.92,22,2.09,3.87,2.77,0.0688152395191838,0.1331841451860003,0.0852766523616899,2.09,3.83,2.77,/soccer/england/professional-development-league/qpr-charlton-QN5QXC9e/
2023-01-17 15:52:32.208441,2023-01-17 20:00:00,World,Club Friendly,Longford (Irl) - Cork City (Irl),1xBet,3.54,10x10bet,4.9,10x10bet,1.89,14,3.33,4.26,1.82,0.18660363974839,0.3590463559406859,0.0385780417611164,3.35,4.0,1.81,/soccer/world/club-friendly/longford-cork-city-Ee4iJEon/
